Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2017-03-31,1119844000.0,-611908000.0,507936000.0,-500400000.0,-500400000.0,7536000.0,-5250000.0,-7820000.0,2286000,2286000,-4558000.0,-2272000,-2272000,-2272000,172128000.0,629235000.0,901613000.0,1906028000.0,830539000.0,840593000.0,1671132000.0,3577160000,512167000.0,27000000.0,627539000.0,784052000.0,929588000.0,1557127000,835828000.0,1232416000.0,2020033000.0,3577160000,-2272000.0,41013000.0,-2152000.0,-69141000.0,-32552000.0,-91790000.0,-91790000.0,43250000.0,2782000.0,43558000.0,-77332000
2017-06-30,1091192000.0,-589999000.0,501193000.0,-502880000.0,-502880000.0,-1687000.0,-10725000.0,-7841000.0,-12412000,-15510000,3202000.0,-12308000,-12308000,-12308000,165685000.0,602795000.0,1168786000.0,2166470000.0,875005000.0,852769000.0,1727774000.0,3894244000,715890000.0,27000000.0,936539000.0,777717000.0,933934000.0,1870473000,852377000.0,1218426000.0,2023771000.0,3894244000,-12309000.0,42354000.0,4593000.0,-62833000.0,-28195000.0,-75483000.0,-75483000.0,93250000.0,3856000.0,97106000.0,-5431000
2017-09-30,1408991000.0,-760265000.0,648726000.0,-501548000.0,-501548000.0,147178000.0,-10644000.0,-9575000.0,136534000,51536000,2706000.0,54242000,54242000,54242000,258002000.0,733292000.0,1180653000.0,2456842000.0,868250000.0,805273000.0,1673523000.0,4130365000,748971000.0,27000000.0,1100426000.0,771382000.0,929243000.0,2029669000,865066000.0,1272556000.0,2100696000.0,4130365000,54241000.0,45121000.0,145217000.0,-210005000.0,34574000.0,-60299000.0,-60299000.0,113250000.0,3079000.0,116217000.0,93315000
2017-12-31,1369217000.0,-775658000.0,593559000.0,-594694000.0,-594694000.0,-1135000.0,-11533000.0,-9302000.0,-12668000,-48621000,-39301000.0,-87922000,-87922000,-87922000,312483000.0,609670000.0,1158548000.0,2337679000.0,885774000.0,782914000.0,1668688000.0,4006367000,857949000.0,27000000.0,1060375000.0,765046000.0,927350000.0,1987725000,872412000.0,1184441000.0,2018642000.0,4006367000,-87920000.0,45259000.0,101564000.0,204730000.0,263633000.0,-55415000.0,-55415000.0,-151750000.0,1823000.0,-150122000.0,54858000
2018-03-31,1185370000.0,-661917000.0,523453000.0,-514634000.0,-514634000.0,8819000.0,-5676000.0,-8564000.0,3143000,-34337000,4093000.0,-30244000,-30244000,-30244000,283644000.0,805413000.0,1148493000.0,2592005000.0,870120000.0,802194000.0,1672314000.0,4264319000,747266000.0,27000000.0,1317057000.0,758705000.0,929530000.0,2246587000,882869000.0,1155946000.0,2017732000.0,4264319000,-30244000.0,46098000.0,-256262000.0,262432000.0,22024000.0,-55930000.0,-55930000.0,3250000.0,2318000.0,3799000.0,-27950000
2018-06-30,1174859000.0,-648275000.0,526584000.0,-552619000.0,-552619000.0,-26035000.0,-16621000.0,-8552000.0,-42656000,-121496000,26090000.0,-95406000,-95544000,-95544000,196879000.0,724945000.0,1299332000.0,2561515000.0,835427000.0,844210000.0,1679637000.0,4241152000,949730000.0,27000000.0,1338399000.0,752370000.0,978841000.0,2317240000,901999000.0,1060402000.0,1923912000.0,4241152000,-95544000.0,45173000.0,28395000.0,145959000.0,123983000.0,-70135000.0,-70135000.0,-141750000.0,6595000.0,-135069000.0,-85865000
2018-09-30,1442976000.0,-777769000.0,665207000.0,-527640000.0,-527640000.0,137567000.0,-13445000.0,-9151000.0,124122000,105521000,-30874000.0,74647000,75266000,75266000,168682000.0,867074000.0,1173115000.0,2587030000.0,821078000.0,819061000.0,1640139000.0,4227169000,802866000.0,25000000.0,1299739000.0,703455000.0,921509000.0,2221248000,915597000.0,1134684000.0,2005921000.0,4227169000,75268000.0,43758000.0,34119000.0,-180335000.0,-27190000.0,-28158000.0,-28158000.0,23500000.0,1826000.0,24561000.0,-27780000
2018-12-31,1389980000.0,-764753000.0,625227000.0,-587446000.0,-587446000.0,37781000.0,-7029000.0,-7301000.0,30752000,-17476000,21243000.0,3767000,4220000,4220000,557403000.0,652546000.0,1019496000.0,2593628000.0,826868000.0,824526000.0,1651394000.0,4245022000,901299000.0,25000000.0,1315977000.0,703834000.0,912174000.0,2228151000,916776000.0,1139082000.0,2016871000.0,4245022000,4218000.0,46739000.0,-9585000.0,468041000.0,509413000.0,-9474000.0,-48681000.0,-75000000.0,-8159000.0,-83159000.0,389520000
2019-03-31,1204722000.0,-659935000.0,544787000.0,-509528000.0,-509528000.0,35259000.0,-4905000.0,-4238000.0,30354000,30354000,-8131000.0,22223000,22477000,22477000,288726000.0,743677000.0,875252000.0,2206708000.0,810470000.0,1418894000.0,2229364000.0,4436072000,645588000.0,0.0,1094012000.0,590431000.0,1292253000.0,2386265000,931501000.0,1158482000.0,2049807000.0,4436072000,22477000.0,46464000.0,670000.0,-159400000.0,-89789000.0,-35911000.0,-35911000.0,-136250000.0,2232000.0,-141635000.0,-267904000
2019-06-30,1191729000.0,-637408000.0,554321000.0,-565803000.0,-565803000.0,-11482000.0,-7116000.0,-5988000.0,-18598000,-18598000,5740000.0,-12858000,-17349000,-17349000,455726000.0,735181000.0,965711000.0,2444447000.0,795499000.0,1439962000.0,2235461000.0,4679908000,911445000.0,0.0,1332641000.0,591396000.0,1298993000.0,2631634000,946637000.0,1141129000.0,2048274000.0,4679908000,-17349000.0,47257000.0,376000.0,172212000.0,202496000.0,-42132000.0,-42132000.0,-1567000.0,2006000.0,2394000.0,167790000
2020-03-31,930240000.0,-499256000.0,430984000.0,-552701000.0,-552701000.0,-121717000.0,-4426000.0,-5960000.0,-126143000,-562606000,-21547000.0,-584153000,-589681000,-589681000,959318000.0,668409000.0,940236000.0,2868007000.0,726568000.0,1243000000.0,1969568000.0,4837575000,684512000.0,600000000.0,1691502000.0,593281000.0,1595893000.0,3287395000,985981000.0,634452000.0,1550180000.0,4837575000,-589681000.0,48565000.0,494533000.0,-320129000.0,-366712000.0,-31498000.0,-68841000.0,600000000.0,1649000.0,598952000.0,172160000
2020-06-30,707640000.0,-358471000.0,349169000.0,-479906000.0,-479906000.0,-130737000.0,-16179000.0,-11336000.0,-146916000,-185853000,3137000.0,-182716000,-182895000,-182895000,1079409000.0,568430000.0,1198509000.0,3089009000.0,702885000.0,1211447000.0,1914332000.0,5003341000,930687000.0,250000000.0,1618614000.0,987949000.0,1961313000.0,3579927000,1044205000.0,450750000.0,1423414000.0,5003341000,-182895000.0,38354000.0,21441000.0,180402000.0,57302000.0,-19364000.0,-20211000.0,138753000.0,1210000.0,87255000.0,119936000
